date,time,sensor_id,direction_1,direction_2,total_of_directions,date_time
2022/11/05,22:29,41,20,19,39,2022/11/05 10:29:00 PM
2022/11/05,22:23,68,2,5,7,2022/11/05 10:23:00 PM
2022/11/05,22:23,23,6,0,6,2022/11/05 10:23:00 PM
2022/11/05,22:27,49,2,0,2,2022/11/05 10:27:00 PM
2022/11/05,22:28,29,56,5,61,2022/11/05 10:28:00 PM
2022/11/05,22:33,58,2,2,4,2022/11/05 10:33:00 PM
2022/11/05,22:19,35,42,23,65,2022/11/05 10:19:00 PM
2022/11/05,22:22,56,1,8,9,2022/11/05 10:22:00 PM
2022/11/05,22:14,48,0,2,2,2022/11/05 10:14:00 PM
2022/11/05,22:33,28,6,18,24,2022/11/05 10:33:00 PM
2022/11/05,22:24,72,6,8,14,2022/11/05 10:24:00 PM
2022/11/05,22:30,59,2,0,2,2022/11/05 10:30:00 PM
2022/11/05,22:27,4,11,12,23,2022/11/05 10:27:00 PM
2022/11/05,22:33,59,6,0,6,2022/11/05 10:33:00 PM
2022/11/05,22:31,51,1,0,1,2022/11/05 10:31:00 PM
2022/11/05,22:20,3,12,9,21,2022/11/05 10:20:00 PM
2022/11/05,22:32,27,2,0,2,2022/11/05 10:32:00 PM
2022/11/05,22:30,63,13,1,14,2022/11/05 10:30:00 PM
2022/11/05,22:34,66,15,9,24,2022/11/05 10:34:00 PM
2022/11/05,22:09,23,10,4,14,2022/11/05 10:09:00 PM
2022/11/05,22:19,23,0,1,1,2022/11/05 10:19:00 PM
2022/11/05,22:25,87,2,1,3,2022/11/05 10:25:00 PM
2022/11/05,22:26,87,2,0,2,2022/11/05 10:26:00 PM
2022/11/05,22:20,12,4,2,6,2022/11/05 10:20:00 PM
2022/11/05,22:29,24,3,6,9,2022/11/05 10:29:00 PM
2022/11/05,22:19,5,14,14,28,2022/11/05 10:19:00 PM
2022/11/05,22:32,67,4,0,4,2022/11/05 10:32:00 PM
2022/11/05,22:27,24,6,3,9,2022/11/05 10:27:00 PM
2022/11/05,22:32,87,1,1,2,2022/11/05 10:32:00 PM
2022/11/05,22:25,57,0,5,5,2022/11/05 10:25:00 PM
2022/11/05,22:30,29,16,20,36,2022/11/05 10:30:00 PM
2022/11/05,22:27,63,10,4,14,2022/11/05 10:27:00 PM
2022/11/05,22:20,5,9,12,21,2022/11/05 10:20:00 PM
2022/11/05,22:31,47,6,8,14,2022/11/05 10:31:00 PM
2022/11/05,22:29,87,1,2,3,2022/11/05 10:29:00 PM
